Harvest Date,latitude,longitude,Area,Harvest Area,yield (kg / ha),Season,Intensity,Latitude,Longitude,variable,api parameter,source dataset,dataset,frequency,detailed_notes
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Aspect,aspect,SRTM (GEE),USGS/SRTMGL1_003,,Derived from DEM using terrain() function in Google Earth Engine.
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,ET (Evapotranspiration),ET,MOD16A2 (MODIS),MODIS/006/MOD16A2,,Evapotranspiration (mm/day) from MODIS MOD16A2 dataset.
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,EVI,Derived,Sentinel-2 (GEE),COPERNICUS/S2,,EVI = 2.5 * (NIR - RED) / (NIR + 6*RED - 7.5*BLUE + 1) using Sentinel-2 bands.
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Elevation,elevation,SRTM (GEE),USGS/SRTMGL1_003,,Elevation values in meters derived from the SRTM DEM dataset.
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Irrigation,Derived,ERA5-Land,ECMWF/ERA5_LAND/DAILY,,"Irrigation = max(0, PEV - TP) estimated from precipitation and potential evapotranspiration."
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Total Precipitation,total_precipitation,ERA5-Land,ECMWF/ERA5_LAND/DAILY,,"Total amount of precipitation (rain, snow, etc.) accumulated over a time step."
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Potential Evaporation,potential_evaporation,ERA5-Land,ECMWF/ERA5_LAND/DAILY,,Amount of water that would evaporate and transpire if sufficient water were available (potential evapotranspiration).
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,LAI,Derived,Sentinel-2 (GEE),COPERNICUS/S2,,"LAI = 3.618 * NDVI - 0.118 (Weiss et al., 2007) calculated from Sentinel-2 NDVI."
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,NDVI,Derived,Sentinel-2 (GEE),COPERNICUS/S2,,NDVI = (NIR - RED) / (NIR + RED) using Sentinel-2 spectral bands.
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,VH,VH_mean,Sentinel-1 (GEE),COPERNICUS/S1_GRD,,"Plant height proxy derived from Sentinel-1 SAR backscatter measurements (VH, VV polarization)."
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,VV,VV_mean,Sentinel-1 (GEE),COPERNICUS/S1_GRD,,"Plant height proxy derived from Sentinel-1 SAR backscatter measurements (VH, VV polarization)."
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Slope,slope,SRTM (GEE),USGS/SRTMGL1_003,,Derived from DEM using slope function in GEE.
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Bulk Density (Oven Dry),bdod_0-5cm_mean,ISRIC,projects/soilgrids-isric/bdod_mean,,Mass of dry soil per unit volume
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Soil Moisture,volumetric_soil_water_layer_1,ERA5-Land,ECMWF/ERA5_LAND/DAILY,,Volumetric soil moisture in the top 0â€“10 cm layer (mÂ³/mÂ³).
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Soil Organic Carbon,ocd_0-5cm_mean,ISRIC,projects/soilgrids-isric/ocd_mean,,Soil organic carbon content (g/kg) from SoilGrids dataset.
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Soil Organic Carbon,ocd_5-15cm_mean,ISRIC,projects/soilgrids-isric/ocd_mean,,Soil organic carbon content (g/kg) from SoilGrids dataset.
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Soil Organic Carbon,ocd_15-30cm_mean,ISRIC,projects/soilgrids-isric/ocd_mean,,Soil organic carbon content (g/kg) from SoilGrids dataset.
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Soil Temperature,soil_temperature_level_1,ERA5-Land,ECMWF/ERA5_LAND/HOURLY,,Soil temperature at depth level 1 (Â°C).
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Soil Texture,sand_0-5cm_mean,ISRIC,projects/soilgrids-isric/sand_mean,,"Percentage composition of sand, silt, and clay in the soil."
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Soil Texture,silt_0-5cm_mean,ISRIC,projects/soilgrids-isric/silt_mean,,"Percentage composition of sand, silt, and clay in the soil."
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Soil Texture,clay_0-5cm_mean,ISRIC,projects/soilgrids-isric/clay_mean,,"Percentage composition of sand, silt, and clay in the soil."
2010-07-15,28.11818,-15.55454,ES705,99.468,2731,SA,D,28.11818,-15.55454,Soil pH,phh2o_0-5cm_mean,ISRIC,projects/soilgrids-isric/phh2o_mean,,Soil pH measured in Hâ‚‚O solution (0â€“5 cm).
