date,latitude,longitude,RVI_mean,RVI_stdDev,RVI_min,RVI_max,VH_mean,VH_stdDev,VH_min,VH_max,VV_mean,VV_stdDev,VV_min,VV_max,VVVH_ratio_mean,VVVH_ratio_stdDev,VVVH_ratio_min,VVVH_ratio_max
2022-03-18,10.282741,105.414218,0.7611680596979916,0.18150448885684248,0.24754387395604413,1.6069766984769112,-17.06743041882599,1.9930567175435125,-22.15762589323183,-5.337650102919006,-10.657433454360257,1.8426530812786894,-16.92425542536916,0.03288872118974373,4.587385637766008,1.505177204408093,1.4891462357800151,15.158751723786434
2022-03-18,10.292251,105.405536,0.6562115780925218,0.19411657786248282,0.15322876050965425,1.5994669986768912,-16.813497713598146,2.2732276282251695,-22.440188196568158,-7.426419514567404,-9.541487885911753,2.3874504816058533,-15.874421158440565,2.403276658820535,5.761125745046381,2.535492491727745,1.5008330920918493,25.104759881210278
2022-03-18,10.303175,105.416814,0.6799002555294196,0.2043292715789957,0.138390416098834,1.8191721356862736,-16.499689064405295,2.8622253217672196,-26.88302716073541,-6.0866375251868945,-9.412554749234893,2.3840987971147083,-17.733701581828,-0.7010673987753031,5.531490191637327,2.5681102584554716,1.1988023681392967,27.903735625329194
2022-03-18,10.320924,105.404264,0.8230598400598913,0.20375238802361476,0.22477639621100012,1.8217799896003735,-16.157668956637064,2.0236024612059875,-23.042964586291088,-6.169058824249321,-10.15719317347647,1.7817733715662996,-15.041803070374156,-3.5895595570948853,4.216073888441403,1.573678037561577,1.1956548116863674,16.795462812942134
2022-03-18,10.335158,105.395026,0.8480485702078779,0.23757148775782802,0.1742400765025369,1.8359272885275308,-15.515857988359219,2.0509073866100684,-22.621998587726544,-8.29927292063361,-9.645068260646557,2.3832111427400617,-16.31822142805177,2.4320584030392913,4.158376627257332,1.767057220889221,1.1787355223681657,21.956831059137887
2022-03-20,10.430707,105.315671,0.9642183036915545,0.22257652259158678,0.2186934292643196,1.951424500452501,-16.530452511004384,1.501800983479502,-24.08719850296557,-8.09846621953694,-11.440407081491834,1.8490735080765643,-17.585583226554313,-0.20976369405654682,3.398106119151408,1.1801933480376732,1.0497846568352867,17.290444360655563
2022-03-20,10.434624,105.327551,0.9864686654083297,0.22004984026606833,0.34962228183295135,1.9132141603826496,-16.92062407275067,1.1982031309938406,-21.513262570555334,-13.21997242874978,-11.971079531439198,1.414619238560311,-15.908740833457877,-7.274346294372971,3.2747475948881113,1.0389902895120597,1.0907225562244354,10.440918407800995
2022-03-20,10.436532,105.313783,0.9604484515411941,0.21248874374903826,0.056529975899809015,1.7565359359363317,-16.279181797070123,1.8482615575224768,-27.260627617259487,-12.079116635772344,-11.168812937408894,1.9310094774603395,-21.106160956778744,4.623482704315904,3.448986796192158,2.0926042196113364,1.2772093175923422,69.75891925178608
2022-03-20,10.439647,105.334052,0.977803975871111,0.21746783364063255,0.2994614962139792,2.0302875874293735,-17.202792219042305,1.1260953644858596,-21.103642215774293,-12.304200143892466,-12.203253663254655,1.4865102944754618,-16.892605514126195,-2.7559931543963145,3.3113564803002067,1.0628254870858909,0.9701642391778382,12.357309873125772
2022-03-20,10.442271,105.339057,0.9157362841798923,0.1938196422188891,0.3895991583684848,2.0302875874293735,-16.43144759375906,1.212210692919785,-21.103642215774293,-13.089333304835563,-11.071355474487316,1.521286123076575,-16.892605514126195,-6.274699430186484,3.5638011718424605,0.9632891808492232,0.9701642391778382,9.266962630901734
2022-03-20,10.443677,105.348236,0.8248371749280781,0.22691031600498343,0.10541800404727528,1.6570665741164559,-15.652999579283229,2.324644956003015,-26.978219997017,-6.241629449473839,-9.601850950262525,2.8266887585738862,-20.63632492018263,8.77272198968417,4.465470761599662,2.8080970595169945,1.4139042223652303,36.94418264840395
2022-03-20,10.444036,105.331928,0.9566742395509017,0.2239115816876269,0.3197833436536331,2.0302875874293735,-15.906662203530226,1.6453790125804109,-21.035320058855632,-1.3946288507971047,-10.768320153058793,1.914633397830695,-16.892605514126195,1.321910305391397,3.44080231266626,1.201117975962327,0.9701642391778382,11.508468872389175
2022-03-20,10.446006,105.338972,0.8327959664117945,0.22700070931588645,0.07156299357173444,1.559277726341187,-15.571263293401786,1.6137285793559863,-19.94143067409903,-3.173029818624052,-9.56340749636795,2.8334074120021473,-16.15297219190955,11.682053890515938,4.491245986654201,3.338228224780609,1.5652902830760738,54.89481099599917
2022-03-20,10.447125,105.31374,0.9667294001452079,0.20469798600352623,0.11522881158783792,1.6919275847407673,-15.413013709853082,1.0892660213411025,-18.768261235673023,-10.04890256017893,-10.350938350460455,1.4985930786698596,-14.24519321807046,-0.4459407859311444,3.3662290975482567,1.285558171164098,1.364167376946496,33.71354034534006
2022-03-20,10.454342,105.322838,0.9448565260405966,0.24742938892300823,0.17363192865897484,1.97705389574986,-16.202119460266253,1.8344110577942454,-27.392440792009857,-6.347714840354964,-10.95926382987927,2.5408377667292403,-19.78441135560822,5.187167214038773,3.587147589841542,1.5465575191106968,1.0232124215727938,22.037237626129684
2022-03-21,10.459704,105.218744,1.0466749268146116,0.18311903726769033,0.5285881606559606,1.7167777901231154,-16.541914102547064,0.8150237113277566,-19.379470140281907,-13.844597176313691,-11.978208744181586,1.002554195558431,-15.574173248326453,-8.631269153353383,2.9432690465413325,0.7146854047910156,1.3299462650394307,6.567328021566225
2022-03-22,10.370371,105.275589,0.895238506100547,0.23690543303322917,0.0901067995580281,1.827415013073655,-16.76428711439213,1.5524366498453468,-21.511660692196017,-4.839863983373603,-11.20579831352585,2.354846259671739,-16.514736731513015,7.750699589318819,3.892692745261862,2.0870896269251142,1.1888842826524255,43.391766432943065
