date,latitude,longitude,NDVI,NDVI_mean,VCI,ET,ET_mean,ET_min,ET_max,Gpp,Gpp_mean,Gpp_min,Gpp_max,Fpar_500m,Fpar_500m_mean,Fpar_500m_min,Fpar_500m_max,SAVI,SAVI_mean,SAVI_min,SAVI_max,NDVI_min,NDVI_max,EVI,EVI_mean,EVI_min,EVI_max,NDRE,NDRE_mean,NDRE_min,NDRE_max,CIredge,CIredge_mean,CIredge_min,CIredge_max,LAI,LAI_mean,LAI_min,LAI_max
2022-03-18,10.282741,105.414218,0.4113480270804248,0.4113480270804248,0.4215846316170928,134.734096692112,134.734096692112,124,151,536.4783715012724,536.4783715012724,453,590,39.31424936386768,39.31424936386768,29,46,0.2870080224252518,0.2870080224252518,-0.033472188619404056,0.6812913785444071,-0.08710803836584091,0.8898208737373352,0.3022365677714318,0.3022365677714318,-0.036233642773694674,0.8464465519214946,0.2155262582858115,0.2155262582858115,-0.2394514859889174,0.6277489630746698,0.6011673033534943,0.6011673033534943,-0.38638299069506055,3.372718412067659,1.370257161976975,1.370257161976975,-0.4331568828076124,3.101371921181679
2022-03-18,10.292251,105.405536,0.40332896824793985,0.40332896824793985,0.37525669842447107,128.09240506329115,128.09240506329115,119,152,514.6506329113924,514.6506329113924,397,584,33.46962025316456,33.46962025316456,30,47,0.2964949670130255,0.2964949670130255,-0.08989310143532117,0.5426521903778425,-0.3151618540287018,0.742401659488678,0.3849582738626701,0.3849582738626701,-0.15004452609323954,0.7723833401140532,0.21327504804756034,0.21327504804756034,-0.3404605175112762,0.49239693614518276,0.6011708520979421,0.6011708520979421,-0.5079754503226719,1.940086540872481,1.3412442071210464,1.3412442071210464,-1.2582555878758428,2.568009204030037
2022-03-18,10.303175,105.416814,0.29069138350881923,0.29069138350881923,0.39955664996672163,145.0152091254753,145.0152091254753,124,164,526.4372623574145,526.4372623574145,459,549,31.84030418250951,31.84030418250951,24,45,0.17050980524916512,0.17050980524916512,-0.11325967278824782,0.6595965396652922,-0.32453826551273757,0.8715370090345742,0.18591916443321202,0.18591916443321202,-0.16295022984537819,0.7822063911436372,0.14767970207206668,0.14767970207206668,-0.5099631054096464,0.6786654877086017,0.46762990380061115,0.46762990380061115,-0.6754643256946277,4.224043554295608,0.933721425534905,0.933721425534905,-1.2921794446250843,3.0352208986870894
2022-03-18,10.320924,105.404264,0.4140517130442553,0.4140517130442553,0.4748313892321607,134.69873417721521,134.69873417721521,130,151,564.6253164556963,564.6253164556963,510,642,40.33924050632912,40.33924050632912,38,47,0.27074218300204067,0.27074218300204067,-0.008777966126146921,0.6360467460761777,-0.01027189993496611,0.8889431927501623,0.28395602965515404,0.28395602965515404,-0.015468602701737172,0.7423361296059471,0.22348473762348692,0.22348473762348692,-0.26831841356956143,0.6074040290392875,0.6655680790359306,0.6655680790359306,-0.42310891444744514,3.0942957848137,1.3800390977941093,1.3800390977941093,-0.1551637339647074,3.098196471370087
2022-03-18,10.335158,105.395026,0.4111584947590162,0.4111584947590162,0.4962834416180129,133.12101910828025,133.12101910828025,123,165,503.92611464968155,503.92611464968155,373,565,44.73248407643311,44.73248407643311,37,47,0.27584306272412157,0.27584306272412157,-0.004887772901289841,0.6212028481961075,-0.005952393693098161,0.8667604755899888,0.3001658016538943,0.3001658016538943,-0.012349093234525734,0.727854831696894,0.2353557286728506,0.2353557286728506,-0.1396415006495952,0.5922546983855959,0.7015633804563836,0.7015633804563836,-0.24506215431782652,2.9050227975192136,1.3695714340381182,1.3695714340381182,-0.13953576038162913,3.0179394006845794
2022-03-20,10.430707,105.315671,6393.829299363055,6393.829299363055,0.6451372109506989,132.37324840764327,132.37324840764327,128,158,463.47515923566874,463.47515923566874,411,579,61.399999999999984,61.399999999999984,57,68,0.27621268598003323,,,,,,0.300637193734631,,,,0.2356438230222222,,,,0.7029051212542596,,,,1.371165331592314,,,
2022-03-20,10.434624,105.327551,6707.604086845466,6707.604086845466,0.6656048281476716,131.0485312899106,131.0485312899106,125,147,569.1213282247766,569.1213282247766,437,630,58.065134099616856,58.065134099616856,47,70,0.2765823092359449,,,,,,0.3011085858153677,,,,0.23593191737159377,,,,0.7042468620521356,,,,1.37275922914651,,,
2022-03-20,10.436532,105.313783,6663.737106918238,6663.737106918238,0.6814262767875423,139.70440251572327,139.70440251572327,127,158,506.99119496855343,506.99119496855343,389,579,65.78238993710691,65.78238993710691,59,68,0.2769519324918566,,,,,,0.3015799778961044,,,,0.23622001172096538,,,,0.7055886028500117,,,,1.3743531267007059,,,
2022-03-20,10.439647,105.334052,5379.751600512164,5379.751600512164,0.490385440003725,132.9001280409731,132.9001280409731,126,152,577.9372599231755,577.9372599231755,520,630,58.69014084507042,58.69014084507042,47,70,0.2773215557477683,,,,,,0.3020513699768412,,,,0.23650810607033695,,,,0.7069303436478878,,,,1.375947024254902,,,
2022-03-20,10.442271,105.339057,5361.1196473551645,5361.1196473551645,0.49715995818873004,137.80730478589422,137.80730478589422,126,152,594.0894206549118,594.0894206549118,450,638,54.74685138539042,54.74685138539042,53,62,0.27769117900367996,,,,,,0.3025227620575779,,,,0.23679620041970856,,,,0.7082720844457638,,,,1.3775409218090977,,,
