date,latitude,longitude,aspect_max,aspect_mean,aspect_stdDev,elevation_max,elevation_mean,elevation_min,elevation_stdDev,slope_max,slope_mean,slope_min,slope_stdDev
2022-03-18,10.282741,105.414218,352,164.73997561859574,106.26237956129026,29,4.102935652861518,-9,3.5045925130159894,32,4.187680801291553,0,3.090303759222229
2022-03-18,10.292251,105.405536,353,171.3993983803054,104.38482883811635,21,4.122389741494627,-14,4.219400571918751,20,5.148688363633971,0,3.3275635279896973
2022-03-18,10.303175,105.416814,354,166.10120969335983,107.60470847569648,13,4.08052762660271,-8,3.037061117667803,16,3.773597585884274,0,2.379221527670051
2022-03-18,10.320924,105.404264,354,166.58183171806755,103.39378956205293,17,3.1388546656037315,-8,3.3468747350183263,18,3.851684334666394,0,2.6561918724553992
2022-03-18,10.335158,105.395026,356,170.47768485060098,105.5808380581359,20,4.077421990032377,-12,3.6661849179295674,26,4.291939930760285,0,3.241640239221245
2022-03-20,10.430707,105.315671,352,163.86428867799026,105.4178197220364,13,0.6940633705881972,-9,2.7841349272525053,12,3.7927679024216756,0,2.206052534376383
2022-03-20,10.434624,105.327551,349,165.3509657023364,104.41613142280507,9,0.625175769351094,-11,2.456605399889955,16,2.968303887507614,0,1.8195980049171596
2022-03-20,10.436532,105.313783,353,169.36161622814245,105.33463563884843,17,1.2644877663252876,-9,2.852295072928533,23,3.917920769256101,0,2.4000895690660697
2022-03-20,10.439647,105.334052,353,166.09905519019702,105.94482012771246,17,1.145874154890848,-11,3.414790558962492,21,4.104166186413048,0,3.020881117996051
2022-03-20,10.442271,105.339057,352,163.39714109778959,106.74699807742054,16,0.44908012631592803,-13,2.9471456006431818,18,3.575857061475287,0,2.5033727869221516
2022-03-20,10.443677,105.348236,355,166.815383906108,105.18176121571022,17,1.6344198269162378,-9,3.079978604579251,19,3.4989659760001066,0,2.5503031803905576
2022-03-20,10.444036,105.331928,353,170.1980216603169,103.6335926950408,19,2.364027014478629,-16,4.0659578738290545,21,5.18952612705762,0,3.3711875918317604
2022-03-20,10.446006,105.338972,352,160.7918987008281,103.33154152205445,19,0.8325500979730276,-13,3.561257715399155,21,4.244734978841118,0,2.889328171382532
2022-03-20,10.447125,105.31374,353,160.77508791802228,102.68457513186593,16,2.1401979637264077,-17,3.366173077771388,19,3.9447334799731313,0,2.5353669987949976
2022-03-20,10.454342,105.322838,356,159.14778920469334,104.61550812397584,13,2.4955000345771206,-14,3.7257043403734955,22,4.370274871653015,0,2.9599130625554793
2022-03-21,10.459704,105.218744,349,159.0580205002914,105.85986100200735,8,1.2651373216596478,-5,1.7216701226941677,7,2.3753667234107008,0,1.388842014655913
2022-03-22,10.370371,105.275589,356,165.20240510665204,105.05740372577941,15,1.9130413301537537,-19,3.3759888858555214,21,4.189220168377227,0,2.6900827309808317
2022-03-22,10.375756,105.208993,353,165.86743543377375,104.06499590956638,10,0.7943004515765659,-11,2.4673418433836525,12,3.4392150275194915,0,1.9743321597357502
2022-03-22,10.380497,105.274972,352,172.64678797859193,104.11087688155578,13,0.9292877727459862,-11,3.3052474773724305,22,4.430386167146975,0,2.8108588252281406
2022-03-22,10.387459,105.205582,350,162.0342577648958,108.05936669253201,11,1.1917822206119686,-10,2.2353441748691734,12,2.8948980600111973,0,1.84168178013495
2022-03-22,10.387619,105.243467,352,167.18666139709507,108.03266669206666,8,0.6152718769555044,-8,2.462567200431576,13,3.2681652010670867,0,1.8896895481661795
2022-03-22,10.394517,105.260713,356,165.71192704061968,104.02348999410887,11,0.5205173555188867,-15,3.146672482015109,21,4.265712845949393,0,2.646879712579199
2022-03-22,10.395256,105.268561,353,173.15174419370555,105.54271814923673,11,0.9195517000619163,-20,3.4237628895226213,20,4.665606186354715,0,3.051543243487852
2022-03-22,10.399256,105.204494,350,159.418408884322,104.79885114198663,10,1.2806748870357925,-8,1.9257075869026616,12,2.7137559446178976,0,1.6650982794331772
2022-03-22,10.402927,105.235656,355,164.82162439858138,105.20076645550436,16,1.4542263145588616,-8,3.3696995476142915,16,4.279832179070466,0,2.787779291830394
2022-03-22,10.404721,105.258428,354,165.16197113516145,106.09340476487496,14,1.0909650815817036,-12,3.3256652412961314,20,4.207560716944093,0,2.6002240070504974
